Column1;Column2
FATOR IX 250/500 UI;Fator IX de coagulação
Hemofil;Fator VIII
Koate DVI;Fator VIII de coagulação
Citanest 3% com Octapressin;Felipressina + Prilocaína
Splendil;Felodipino
Pyridium;Fenazopiridina
Butazona Cálcica;Fenilbutazona
FENILEFRINA 10%;Fenilefrina
Fluviral Dia;Fenilefrina + Paracetamol
Lipidem;Fenofibrato
Duovent;Fenoterol + Ipratrópio
Pen-Ve-Oral;Fenoximetilpenicilina
Novofer Ped;Ferro
STIMULANCE MULTI FIBER;Fibras alimentares
;Filgrastim
Granulokine;Filgrastima
Gilenya;Fingolimode
Hyvit K;Fitomenadiona
FLUDARA;Fludarabina
Florinefe;Fludrocortisona
Flumazil;Flumazenil
Sibelium;Flunarizina
Rohydorm;Flunitrazepam
TRI-LUMA;Fluocinolona Acetonida + Hidroquinona + Tretinoína
NATIVIT FLÚOR;Fluoreto de sódio
FLUORURACILA DA EUROFARMA;Fluoruracila
KATADOLON;Flupirtina
Dalmadorm;Flurazepam
Ocufen;Flurbiprofeno
Flutamida;Flutamida
LESCOL;Fluvastatina
Telzir Suspensão;Fosamprenavir
Fosfato de Potássio;Fosfato de potássio
Monuril;Fosfomicina
MONOPRIL;Fosinopril
Muphoran;Fotemustina
FASLODEX;Fulvestranto
Zymar XD;Gatifloxacino
Zypred;Gatifloxacino + Prednisolona
Factive;Gemifloxacino
Tanakan;Ginkgo biloba
Maviret;Glecaprevir + Pibrentasvir
GLUCOVANCE;Glibenclamida + Metformina
SOLUÇÃO DE GLICOSE 50%;Glicose
GLIPIZIDA;Glipizida
Glucagen;Glucagon
Artrogen Duo;Glucosamina + Condroitina
PREGNYL;Gonadotrofina Coriônica Humana
Guaifenesina;Guaifenesina
;HIDROCORTISONA
FLUOTHANE;Halotano
Artroflan;Harpagophytum procumbens
Hederax;Hedera helix
Euflexxa;Hialuronato de sódio
Hyalozima;Hialuronidase
Hyqvia;Hialuronidase + Imunoglobulina humana
LISINORETIC;Hidroclorotiazida + Lisinopril
Misacor HCT;Hidroclorotiazida + Losartana
Selopress Zok;Hidroclorotiazida + Metoprolol
Olsar H;Hidroclorotiazida + Olmesartana medoxomila
Terra-Cortril;Hidrocortisona + Oxitetraciclina
Jurnista TM;Hidromorfona
SOLAQUIN;Hidroquinona
Hydrea;Hidroxiureia
Mylanta Plus;Hidróxido de Alumínio + Hidróxido de Magnésio + Simeticona
Gelusil;Hidróxido de alumínio + hidróxido de magnésio
;Hypericum perforatum
IMUNOGLOBULINA HUMANA ENDOVENOSA;IMUNOGLOBULINA HUMANA ENDOVENOSA
IMUNOGLOBULINA HUMANA ESPECÍFICA ANTI-D;IMUNOGLOBULINA HUMANA ESPECÍFICA ANTI-D
IMUNOGLOBULINA HUMANA ESPECÍFICA ANTI-HEPATITE B;IMUNOGLOBULINA HUMANA ESPECÍFICA ANTI-HEPATITE B
IMUNOGLOBULINA HUMANA NORMAL;IMUNOGLOBULINA HUMANA NORMAL
Imbruvica;Ibrutinibe
Nuromol;Ibuprofeno + Paracetamol
Firazyr;Icatibanto
Elaprase;Idursulfase
HOLOXANE;Ifosfamida
Cerezyme;Imiglucerase
Imiquimode;Imiquimode
IMUNOGLOBULINA ANTITETÂNICA;Imunoglobulina Antitetânica
Gammar;Imunoglobulina humana
TETANOGAMMA;Imunoglobulina humana antitetânica
CRIXIVAN;Indinavir
Berinert;Inibidor de C1 esterase
Besponsa;Inotuzumabe ozogamicina
Xultophy;Insulina degludeca + Liraglutida
Soliqua;Insulina glargina + Lixisenatida
Apidra Solostar;Insulina glulisina
Afrezza;Insulina humana
;Insulina regular
INTERFERON Alfa-2b Humano Recombinante;Interferon Alfa-2b
REBIF;Interferon beta-1a
Extavia;Interferon beta-1b
IODETO DE POTÁSSIO;Iodeto de potássio
Iopamiron;Iopamidol
Optiray;Ioversol
Camptosar;Irinotecano
Sarclisa;Isatuximabe
Cresemba;Isavuconazol
Isetionato de Hexamidina + Cloridrato de Tetracaína;Isetionato de Hexamidina + Cloridrato de Tetracaína
TRAVOGYN;Isoconazol
Promensil;Isoflavonas
FORANE;Isoflurano
Symdeko;Ivacaftor + Tezacaftor
Ninlaro;Ixazomibe
Hepa-Merz;L-ornitina L-aspartato
Culturelle Saúde Digestiva;Lactobacillus rhamnosus
Tykerb;Lapatinibe
Aldurazyme;Laronidase
Arulatan;Latanoprosta
GRANOCYTE;Lenograstim
Lenvima;Lenvatinibe
Zanidip;Lercanidipino
Eligard;Leuprorrelina
BETAGAN;Levobunolol
Simdax;Levosimendana
Medicaína;Lidocaína
Emla;Lidocaína + Prilocaína
Pliaglis;Lidocaína + Tetracaína
Tetralysal;Limeciclina
LINCOMICINA;Lincomicina
EXLUTON;Linestrenol
Broncho-Vaxom;Lisado Bacteriano
Uro-Vaxom;Lisado bacteriano de Escherichia coli
Venvanse;Lisdexanfetamina
Lyxumia;Lixisenatida
Alomide;Lodoxamida
Hislor;Loratadina
Alrex;Loteprednol
Zylet;Loteprednol + Tobramicina
Oxlumo;Lumasiran
Reblozyl;Luspatercepte
IXEL;MILNACIPRANO
Riopan;Magaldrato
RIOPAN PLUS;Magaldrato + Simeticona
Ergotrate;Maleato de ergometrina
Manitol 20%;Manitol
;Matricaria recutita
;Maytenus ilicifolia
;Melissa officinalis
Menopur;Menotropina
Dolantina;Meperidina
Meromax;Meropeném
Mesilato de Desferroxamina;Mesilato de desferroxamina
PROVIRON;Mesterolona
Metadoxil;Metadoxina
METILERGOMETRINA;Metilergometrina
Concerta;Metilfenidato
Metilsulfato de Neostigmina;Metilsulfato de neostigmina
DESERILA;Metisergida
Myalept;Metreleptina
Mycamine;Micafungina
Micofim creme;Miconazol
MIDECAMIN;Midecamicina
Rydapt;Midostaurina
Mepact;Mifamurtida
Zavesca;Miglustate
Primacor;Milrinona
MITOCIN;Mitomicina
MITOXANTRONA;Mitoxantrona
AURORIX;Moclobemida
ELOCOM;Mometasona
Singulair Baby;Montelucaste
Supirocin;Mupirocina
Orthoclone OKT3;Muromonabe-CD3
CORGARD;Nadolol
SYNAREL;Nafarelina
PRIVINA;Nafazolina
Deca-Durabolin;Nandrolona
Tysabri;Natalizumabe
STARLIX;Nateglinida
VIRACEPT PÓ ORAL;Nelfinavir
NEOMICINA POMADA;Neomicina
Normastig;Neostigmina
Natrecor;Nesiritida
Sermion;Nicergolina
NIFELAT;Nifedipino
Tasigna;Nilotinibe
Nimodipino;Nimodipino
Ofev;Nintedanibe
Paxlovid;Nirmatrelvir + Ritonavir
Nitrendipino;Nitrendipino
;Nitroprussiato de sódio
Hemitartarato de Norepinefrina;Norepinefrina
Spinraza;Nusinersena
Patanol S;OLOPATADINA
Syntocinon;Ocitocina
Ocrevus;Ocrelizumabe
Octride;Octreotida
Lynparza;Olaparibe
Olsar;Olmesartana medoxomila
Enavo ODT;Ondansetrona
XENICAL;Orlistate
STAFICILIN-N;Oxacilina
Oxacilina Sódica;Oxacilina Sódica
Evoxali;Oxaliplatina
Retemic UD;Oxibutinina
Terramicina;Oxitetraciclina
Ibrance;Palbociclibe
SYNAGIS;Palivizumabe
AREDIA;Pamidronato dissódico
Pyverm;Pamoato de Pirantel
;Panax ginseng
Creon;Pancreatina
Vectibix;Panitumumabe
Sinutab;Paracetamol + Pseudoefedrina
Bextra IM/IV;Parecoxibe
Zemplar;Paricalcitol
;Passiflora incarnata
Onpattro;Patisirana
Catuama;Paullinia cupana + Ptychopetalum olacoides + Trichilia catigua + Zingiber officinale
Votrient;Pazopanibe
PEFLACIN 2;Pefloxacino
Pelgraz;Pegfilgrastim
Umckan;Pelargonium sidoides
Alimta;Pemetrexede
Cuprimine;Penicilamina
PENICILINA G BENZATINA;Penicilina G Benzatina
PENICILINA G POTÁSSICA ARISTON;Penicilina G Potássica
PENICILINA G PROCAÍNA + PENICILINA G POTÁSSICA;Penicilina G Procaína + Penicilina G Potássica
TRENTAL VERT;Pentoxifilina
Neuleptil;Periciazina
Kwell;Permetrina
BENZAC WASH;Peróxido de benzoíla
